eKE/eV,Raw,eKE/eV,Fit,eKE/eV,Retrieved
2.19402,0.04448,2.78,0.00194,2.58,0.01452
2.1891,0.04588,2.79,0.00182,2.59,0.01377
2.1842,0.05033,2.8,0.0017,2.6,0.01306
2.17932,0.05045,2.81,0.0016,2.61,0.01238
2.17444,0.05319,2.82,0.0015,2.62,0.01174
2.16958,0.04764,2.83,0.00142,2.63,0.01112
2.16472,0.05432,2.84,0.00134,2.64,0.01053
2.15988,0.0527,2.85,0.00125,2.65,0.00997
2.15505,0.05414,2.86,0.00117,2.66,0.00944
2.15023,0.04986,2.87,0.0011,2.67,0.00893
2.14543,0.05263,2.88,0.00102,2.68,0.00844
2.14063,0.05497,2.89,9.66E-04,2.69,0.00798
2.13585,0.06399,2.9,8.94E-04,2.7,0.00755
2.13108,0.06726,2.91,8.34E-04,2.71,0.00713
2.12631,0.05403,2.92,7.88E-04,2.72,0.00673
2.12156,0.06982,2.93,7.37E-04,2.73,0.00636
2.11683,0.07762,2.94,6.88E-04,2.74,0.006
2.1121,0.07375,2.95,6.45E-04,2.75,0.00566
2.10738,0.06311,2.96,5.94E-04,2.76,0.00534
2.10268,0.06597,2.97,5.58E-04,2.77,0.00504
2.09798,0.06794,2.98,5.22E-04,2.78,0.00475
2.0933,0.06765,2.99,4.85E-04,2.79,0.00447
2.08863,0.07418,3,4.53E-04,2.8,0.00421
2.08397,0.07663,3.01,4.21E-04,2.81,0.00397
2.07932,0.07544,3.02,3.93E-04,2.82,0.00374
2.07468,0.07745,3.03,3.66E-04,2.83,0.00352
2.07005,0.08269,3.04,3.44E-04,2.84,0.00331
2.06544,0.08012,3.05,3.20E-04,2.85,0.00311
2.06083,0.07293,3.06,2.96E-04,2.86,0.00292
2.05624,0.08004,3.07,2.78E-04,2.87,0.00275
2.05165,0.08857,3.08,2.56E-04,2.88,0.00258
2.04708,0.09064,3.09,2.44E-04,2.89,0.00242
2.04252,0.09412,3.1,2.22E-04,2.9,0.00228
2.03796,0.07612,3.11,2.06E-04,2.91,0.00214
2.03342,0.08894,3.12,1.93E-04,2.92,0.002
2.02889,0.0915,3.13,1.77E-04,2.93,0.00188
2.02437,0.10676,3.14,1.65E-04,2.94,0.00176
2.01986,0.08532,3.15,1.54E-04,2.95,0.00165
2.01536,0.09923,3.16,1.42E-04,2.96,0.00155
2.01087,0.10893,3.17,1.31E-04,2.97,0.00145
2.0064,0.09115,3.18,1.22E-04,2.98,0.00136
2.00193,0.10325,3.19,1.12E-04,2.99,0.00127
1.99747,0.11017,3.2,1.03E-04,3,0.00119
1.99302,0.11425,3.21,9.61E-05,3.01,0.00111
1.98859,0.10781,3.22,8.79E-05,3.02,0.00104
1.98416,0.13063,3.23,8.23E-05,3.03,9.71E-04
1.97974,0.11313,3.24,7.58E-05,3.04,9.08E-04
1.97534,0.10808,3.25,7.05E-05,3.05,8.48E-04
1.97094,0.11075,3.26,6.49E-05,3.06,7.92E-04
1.96656,0.12458,3.27,5.98E-05,3.07,7.39E-04
1.96218,0.12293,3.28,5.50E-05,3.08,6.90E-04
1.95782,0.12126,3.29,5.17E-05,3.09,6.43E-04
1.95346,0.12984,3.3,4.70E-05,3.1,6.00E-04
1.94912,0.1184,3.31,4.36E-05,3.11,5.59E-04
1.94478,0.13535,3.32,4.00E-05,3.12,5.21E-04
1.94046,0.1273,3.33,3.70E-05,3.13,4.85E-04
1.93614,0.13794,3.34,3.38E-05,3.14,4.52E-04
1.93184,0.13382,3.35,3.15E-05,3.15,4.21E-04
1.92754,0.13957,3.36,2.90E-05,3.16,3.92E-04
1.92326,0.12997,3.37,2.66E-05,3.17,3.64E-04
1.91898,0.14419,3.38,2.44E-05,3.18,3.39E-04
1.91471,0.15947,3.39,2.27E-05,3.19,3.15E-04
1.91046,0.14935,3.4,2.06E-05,3.2,2.93E-04
1.90621,0.1582,3.41,1.88E-05,3.21,2.72E-04
1.90198,0.15003,3.42,1.76E-05,3.22,2.53E-04
1.89775,0.1544,3.43,1.60E-05,3.23,2.35E-04
1.89353,0.16181,3.44,1.46E-05,3.24,2.18E-04
1.88932,0.15005,3.45,1.34E-05,3.25,2.02E-04
1.88513,0.16711,3.46,1.23E-05,3.26,1.87E-04
1.88094,0.1614,3.47,1.13E-05,3.27,1.74E-04
1.87676,0.16635,3.48,1.05E-05,3.28,1.61E-04
1.87259,0.16469,3.49,9.57E-06,3.29,1.49E-04
1.86843,0.17784,3.5,8.74E-06,3.3,1.38E-04
1.86428,0.17261,3.51,7.95E-06,3.31,1.28E-04
1.86014,0.20688,3.52,7.32E-06,3.32,1.18E-04
1.85601,0.16876,3.53,6.73E-06,3.33,1.10E-04
1.85188,0.1645,3.54,6.11E-06,3.34,1.01E-04
1.84777,0.17315,3.55,5.61E-06,3.35,9.37E-05
1.84367,0.19012,3.56,5.14E-06,3.36,8.66E-05
1.83957,0.17341,3.57,4.65E-06,3.37,8.00E-05
1.83549,0.19462,3.58,4.30E-06,3.38,7.39E-05
1.83141,0.19141,3.59,3.87E-06,3.39,6.83E-05
1.82734,0.20387,3.6,3.59E-06,3.4,6.30E-05
1.82329,0.19699,3.61,3.27E-06,3.41,5.82E-05
1.81924,0.20846,3.62,3.01E-06,3.42,5.37E-05
1.8152,0.2063,3.63,2.75E-06,3.43,4.95E-05
